weaponDetailId,WEAPON_ID,WEAPON_TYPE_ID,MANUFACTURE_DETAILS_MAKE,MANUFACTURE_DETAILS_MODEL,MANUFACTURE_DETAILS_SERIAL_NO,BARREL_QUANTITY,BARREL_UNIT,BARREL_VALUE,CALIBRE,MAG_CAP,OVERALL_LENGTH_QUANTITY,OVERALL_LENGTH_UNIT,OVERALL_LENGTH_VALUE,IS_CORRECT,CHANGES,DATE_RETURNED,DETAILS,QUANTITY,IS_MARKED_FOR_TRANSFER,DB_INSERT_DATE,DB_UPDATE_DATE,DB_UPDATE_AGENT,DB_UPDATE_CASE_ID,WEAPON_REGISTRATION_NUMBER,DB_UPDATE_PC_NUMBER,DB_UPDATE_IP_ADDRESS,DB_UPDATE_SESSION_ID,CATEGORY_CHOICE_CODE,ACTION_CHOICE_CODE,TYPE_CHOICE_CODE,DESCRIPTION_CHOICE_CODE
961149,31413277,1,SPORTCO OMARK,33,ZD501,NULL,NULL,NULL,0.222,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17:43.7,NULL,NULL,NULL,6666668,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1571349,58865579,1,WEATHERBY,VANGUARD,VB195904,1,NULL,,0.27,5,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,18:39.4,15:20.4,4038793,14080799,10589564,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,BLT,CAB,A16
1571506,31717886,1,STEYR,CARBINE,8866,1,NULL,NULL,8X57MM,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,51:52.4,31:50.6,4025603,14064983,2181511,10.46.158.88,10.46.158.88,4487BA22CC2AB316CBF8C282BE406EEF.pk13_167_K1,NULL,BLT,CAB,A16
1595191,58914533,1,BOITO,UNKNOWN,257607,1,NULL,,0.41,2,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,26:01.7,00:48.1,4029017,14080812,10637218,10.46.158.88,10.46.158.88,9EDD23A41F5BC446CC971964BB7AFB41.pk23_537_K1,NULL,BRK,CAA,A07
1606967,58914876,1,CASHMORE,,1313,1,NULL,,12G,2,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,41:44.4,39:40.3,4038691,14079953,10637598,10.46.158.88,10.46.158.88,44B3FE5EBB26B6B1474EAC2D85F1A88F.pk33_196_K1,NULL,BRK,CAA,A07
1656300,31986478,1,BOITO,HAMMER,548760,1,NULL,,0.41,1,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,18:42.1,27:17.8,4037810,14083478,2288512,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,BRK,CAA,A07
1656302,31868842,1,SHARPS,INNOVA,A320379,1,NULL,,0.177,1,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,28:04.4,26:19.2,4037810,14083477,247626,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,PMP,CAA,A04
1656304,31863859,1,MARTINI,CADET,17448,1,NULL,NULL,25/30,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,34:09.4,28:06.8,4037810,14083481,3344046,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,LVR,CAB,A16
1656670,31334998,1,WINCHESTER,250,B946924,1,NULL,,0.22,12,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,10:25.9,24:39.7,4037810,14083476,5711018,10.46.158.88,10.46.158.88,FBAD3B60E6659CAB50A827306D3E82F9.pk13_178_K1,NULL,LVR,CAA,A91
1702519,58921379,1,BROWNING,BL 22,21269ZP242,1,NULL,,22LR,15,1,NULL,,NULL,NULL,NULL,NULL,NULL,0,52:12.7,45:12.7,4038793,14080847,10643964,10.46.158.88,10.46.158.88,C3030905333AB6BDC25A471CFD372606.pk23_544_K1,NULL,LVR,CAA,A91
